source,target,language,note
Sessions,Sessions,ca,QDA term. PENDING native review
Signals,Senyals,ca,Bristlenose coinage - we name it. PENDING native review
Codes,Codis,ca,QDA term. PENDING native review
Agent,Agent,ca,AI agent (MCP client). PENDING native review
Focus Mode,Mode immersió,ca,PROVISIONAL - COLLISION: Apple ca calls system Focus 'Modes de concentració' so Mode concentració is unavailable. Immersion register proposed after it: Full Immersion. PENDING native review
Library,Biblioteca,ca,Sidebar group header over the codebook list on the Codebooks lens - the browsable collection of codebooks. Noun not a verb phrase. Same word as desktop toolbar.library. Supersedes the earlier Frameworks wording which drifted when the en value changed on 20 Aug 2026 and the 20 translations did not follow PENDING native review
Library,Knihovna,cs,Sidebar group header over the codebook list on the Codebooks lens - the browsable collection of codebooks. Noun not a verb phrase. Same word as desktop toolbar.library. Supersedes the earlier Frameworks wording which drifted when the en value changed on 20 Aug 2026 and the 20 translations did not follow
Library,Bibliotek,da,Sidebar group header over the codebook list on the Codebooks lens - the browsable collection of codebooks. Noun not a verb phrase. Same word as desktop toolbar.library. Supersedes the earlier Frameworks wording which drifted when the en value changed on 20 Aug 2026 and the 20 translations did not follow
Library,Bibliothek,de,Sidebar group header over the codebook list on the Codebooks lens - the browsable collection of codebooks. Noun not a verb phrase. Same word as desktop toolbar.library. Supersedes the earlier Frameworks wording which drifted when the en value changed on 20 Aug 2026 and the 20 translations did not follow
Library,Biblioteca,es,Sidebar group header over the codebook list on the Codebooks lens - the browsable collection of codebooks. Noun not a verb phrase. Same word as desktop toolbar.library. Supersedes the earlier Frameworks wording which drifted when the en value changed on 20 Aug 2026 and the 20 translations did not follow
Library,Kirjasto,fi,Sidebar group header over the codebook list on the Codebooks lens - the browsable collection of codebooks. Noun not a verb phrase. Same word as desktop toolbar.library. Supersedes the earlier Frameworks wording which drifted when the en value changed on 20 Aug 2026 and the 20 translations did not follow
Library,Bibliothèque,fr,Sidebar group header over the codebook list on the Codebooks lens - the browsable collection of codebooks. Noun not a verb phrase. Same word as desktop toolbar.library. Supersedes the earlier Frameworks wording which drifted when the en value changed on 20 Aug 2026 and the 20 translations did not follow
Library,Libreria,it,Sidebar group header over the codebook list on the Codebooks lens - the browsable collection of codebooks. Noun not a verb phrase. Same word as desktop toolbar.library. Supersedes the earlier Frameworks wording which drifted when the en value changed on 20 Aug 2026 and the 20 translations did not follow - Libreria is Apple's it term for Library not Biblioteca
Library,ライブラリ,ja,Sidebar group header over the codebook list on the Codebooks lens - the browsable collection of codebooks. Noun not a verb phrase. Same word as desktop toolbar.library. Supersedes the earlier Frameworks wording which drifted when the en value changed on 20 Aug 2026 and the 20 translations did not follow
Library,라이브러리,ko,Sidebar group header over the codebook list on the Codebooks lens - the browsable collection of codebooks. Noun not a verb phrase. Same word as desktop toolbar.library. Supersedes the earlier Frameworks wording which drifted when the en value changed on 20 Aug 2026 and the 20 translations did not follow
Library,Bibliotek,nb,Sidebar group header over the codebook list on the Codebooks lens - the browsable collection of codebooks. Noun not a verb phrase. Same word as desktop toolbar.library. Supersedes the earlier Frameworks wording which drifted when the en value changed on 20 Aug 2026 and the 20 translations did not follow
Library,Bibliotheek,nl,Sidebar group header over the codebook list on the Codebooks lens - the browsable collection of codebooks. Noun not a verb phrase. Same word as desktop toolbar.library. Supersedes the earlier Frameworks wording which drifted when the en value changed on 20 Aug 2026 and the 20 translations did not follow
Library,Biblioteka,pl,Sidebar group header over the codebook list on the Codebooks lens - the browsable collection of codebooks. Noun not a verb phrase. Same word as desktop toolbar.library. Supersedes the earlier Frameworks wording which drifted when the en value changed on 20 Aug 2026 and the 20 translations did not follow
Library,Biblioteca,pt-BR,Sidebar group header over the codebook list on the Codebooks lens - the browsable collection of codebooks. Noun not a verb phrase. Same word as desktop toolbar.library. Supersedes the earlier Frameworks wording which drifted when the en value changed on 20 Aug 2026 and the 20 translations did not follow
Library,Biblioteca,pt-PT,Sidebar group header over the codebook list on the Codebooks lens - the browsable collection of codebooks. Noun not a verb phrase. Same word as desktop toolbar.library. Supersedes the earlier Frameworks wording which drifted when the en value changed on 20 Aug 2026 and the 20 translations did not follow
Library,Библиотека,ru,Sidebar group header over the codebook list on the Codebooks lens - the browsable collection of codebooks. Noun not a verb phrase. Same word as desktop toolbar.library. Supersedes the earlier Frameworks wording which drifted when the en value changed on 20 Aug 2026 and the 20 translations did not follow
Library,Bibliotek,sv,Sidebar group header over the codebook list on the Codebooks lens - the browsable collection of codebooks. Noun not a verb phrase. Same word as desktop toolbar.library. Supersedes the earlier Frameworks wording which drifted when the en value changed on 20 Aug 2026 and the 20 translations did not follow
Library,Kitaplık,tr,Sidebar group header over the codebook list on the Codebooks lens - the browsable collection of codebooks. Noun not a verb phrase. Same word as desktop toolbar.library. Supersedes the earlier Frameworks wording which drifted when the en value changed on 20 Aug 2026 and the 20 translations did not follow
Library,Бібліотека,uk,Sidebar group header over the codebook list on the Codebooks lens - the browsable collection of codebooks. Noun not a verb phrase. Same word as desktop toolbar.library. Supersedes the earlier Frameworks wording which drifted when the en value changed on 20 Aug 2026 and the 20 translations did not follow
Library,編碼簿庫,zh-Hant,Sidebar group header over the codebook list on the Codebooks lens - the browsable collection of codebooks. Noun not a verb phrase. Same word as desktop toolbar.library. Supersedes the earlier Frameworks wording which drifted when the en value changed on 20 Aug 2026 and the 20 translations did not follow - 編碼簿庫 (codebook library) not a bare 庫 which reads as a software/data library
Default,Per defecte,ca,"Sidebar group header over the codebooks that ship with Bristlenose. Replaced Built-in when the en value changed 20 Aug 2026. Apple's own term, measured from the shipping macOS loctables - not a style-guide choice. PENDING native review - Apple ca ships Per omissio; Per defecte kept from the ca glossary pass - reviewer to reconcile"
Default,Výchozí,cs,"Sidebar group header over the codebooks that ship with Bristlenose. Replaced Built-in when the en value changed 20 Aug 2026. Apple's own term, measured from the shipping macOS loctables - not a style-guide choice. PENDING native review"
Default,Standard,da,"Sidebar group header over the codebooks that ship with Bristlenose. Replaced Built-in when the en value changed 20 Aug 2026. Apple's own term, measured from the shipping macOS loctables - not a style-guide choice. PENDING native review"
Default,Standard,de,"Sidebar group header over the codebooks that ship with Bristlenose. Replaced Built-in when the en value changed 20 Aug 2026. Apple's own term, measured from the shipping macOS loctables - not a style-guide choice. PENDING native review"
Default,Por omisión,es,"Sidebar group header over the codebooks that ship with Bristlenose. Replaced Built-in when the en value changed 20 Aug 2026. Apple's own term, measured from the shipping macOS loctables - not a style-guide choice. PENDING native review"
Default,Oletus,fi,"Sidebar group header over the codebooks that ship with Bristlenose. Replaced Built-in when the en value changed 20 Aug 2026. Apple's own term, measured from the shipping macOS loctables - not a style-guide choice. PENDING native review"
Default,Par défaut,fr,"Sidebar group header over the codebooks that ship with Bristlenose. Replaced Built-in when the en value changed 20 Aug 2026. Apple's own term, measured from the shipping macOS loctables - not a style-guide choice. PENDING native review"
Default,Default,it,"Sidebar group header over the codebooks that ship with Bristlenose. Replaced Built-in when the en value changed 20 Aug 2026. Apple's own term, measured from the shipping macOS loctables - not a style-guide choice. PENDING native review - Apple it keeps the English word Default (239 hits vs 22 for Di default)"
Default,デフォルト,ja,"Sidebar group header over the codebooks that ship with Bristlenose. Replaced Built-in when the en value changed 20 Aug 2026. Apple's own term, measured from the shipping macOS loctables - not a style-guide choice. PENDING native review"
Default,기본,ko,"Sidebar group header over the codebooks that ship with Bristlenose. Replaced Built-in when the en value changed 20 Aug 2026. Apple's own term, measured from the shipping macOS loctables - not a style-guide choice. PENDING native review"
Default,Standard,nb,"Sidebar group header over the codebooks that ship with Bristlenose. Replaced Built-in when the en value changed 20 Aug 2026. Apple's own term, measured from the shipping macOS loctables - not a style-guide choice. PENDING native review"
Default,Standaard,nl,"Sidebar group header over the codebooks that ship with Bristlenose. Replaced Built-in when the en value changed 20 Aug 2026. Apple's own term, measured from the shipping macOS loctables - not a style-guide choice. PENDING native review"
Default,Domyślne,pl,"Sidebar group header over the codebooks that ship with Bristlenose. Replaced Built-in when the en value changed 20 Aug 2026. Apple's own term, measured from the shipping macOS loctables - not a style-guide choice. PENDING native review"
Default,Padrão,pt-BR,"Sidebar group header over the codebooks that ship with Bristlenose. Replaced Built-in when the en value changed 20 Aug 2026. Apple's own term, measured from the shipping macOS loctables - not a style-guide choice. PENDING native review"
Default,Predefinidos,pt-PT,"Sidebar group header over the codebooks that ship with Bristlenose. Replaced Built-in when the en value changed 20 Aug 2026. Apple's own term, measured from the shipping macOS loctables - not a style-guide choice. PENDING native review - Apple pt-PT ships the noun Predefinicao; pluralised to agree with Livros de codigos"
Default,По умолчанию,ru,"Sidebar group header over the codebooks that ship with Bristlenose. Replaced Built-in when the en value changed 20 Aug 2026. Apple's own term, measured from the shipping macOS loctables - not a style-guide choice. PENDING native review"
Default,Förval,sv,"Sidebar group header over the codebooks that ship with Bristlenose. Replaced Built-in when the en value changed 20 Aug 2026. Apple's own term, measured from the shipping macOS loctables - not a style-guide choice. PENDING native review - Apple sv ships the noun Forval (243 hits) rather than an adjective"
Default,Saptanmış,tr,"Sidebar group header over the codebooks that ship with Bristlenose. Replaced Built-in when the en value changed 20 Aug 2026. Apple's own term, measured from the shipping macOS loctables - not a style-guide choice. PENDING native review - Apple tr ships Saptanmis; the wider Turkish software convention is Varsayilan - reviewer to confirm which register wins here"
Default,Типові,uk,"Sidebar group header over the codebooks that ship with Bristlenose. Replaced Built-in when the en value changed 20 Aug 2026. Apple's own term, measured from the shipping macOS loctables - not a style-guide choice. PENDING native review"
Default,預設,zh-Hant,"Sidebar group header over the codebooks that ship with Bristlenose. Replaced Built-in when the en value changed 20 Aug 2026. Apple's own term, measured from the shipping macOS loctables - not a style-guide choice. PENDING native review"
Manual tags,Etiquetes manuals,ca,"Sidebar group header over tags the researcher made by hand, as against Default and Library codebooks. Replaced Your tags when the en value changed 20 Aug 2026. Adjective from Apple's Manual; noun lifted from each locale's own existing plural for tags. PENDING native review"
Manual tags,Ruční štítky,cs,"Sidebar group header over tags the researcher made by hand, as against Default and Library codebooks. Replaced Your tags when the en value changed 20 Aug 2026. Adjective from Apple's Manual; noun lifted from each locale's own existing plural for tags. PENDING native review"
Manual tags,Manuelle tags,da,"Sidebar group header over tags the researcher made by hand, as against Default and Library codebooks. Replaced Your tags when the en value changed 20 Aug 2026. Adjective from Apple's Manual; noun lifted from each locale's own existing plural for tags. PENDING native review"
Manual tags,Manuelle Tags,de,"Sidebar group header over tags the researcher made by hand, as against Default and Library codebooks. Replaced Your tags when the en value changed 20 Aug 2026. Adjective from Apple's Manual; noun lifted from each locale's own existing plural for tags. PENDING native review"
Manual tags,Etiquetas manuales,es,"Sidebar group header over tags the researcher made by hand, as against Default and Library codebooks. Replaced Your tags when the en value changed 20 Aug 2026. Adjective from Apple's Manual; noun lifted from each locale's own existing plural for tags. PENDING native review"
Manual tags,Manuaaliset tunnisteet,fi,"Sidebar group header over tags the researcher made by hand, as against Default and Library codebooks. Replaced Your tags when the en value changed 20 Aug 2026. Adjective from Apple's Manual; noun lifted from each locale's own existing plural for tags. PENDING native review - Apple fi ships the adverb Kasin (by hand); Manuaaliset chosen because a bare adverb cannot head a noun phrase"
Manual tags,Étiquettes manuelles,fr,"Sidebar group header over tags the researcher made by hand, as against Default and Library codebooks. Replaced Your tags when the en value changed 20 Aug 2026. Adjective from Apple's Manual; noun lifted from each locale's own existing plural for tags. PENDING native review"
Manual tags,Tag manuali,it,"Sidebar group header over tags the researcher made by hand, as against Default and Library codebooks. Replaced Your tags when the en value changed 20 Aug 2026. Adjective from Apple's Manual; noun lifted from each locale's own existing plural for tags. PENDING native review"
Manual tags,手動タグ,ja,"Sidebar group header over tags the researcher made by hand, as against Default and Library codebooks. Replaced Your tags when the en value changed 20 Aug 2026. Adjective from Apple's Manual; noun lifted from each locale's own existing plural for tags. PENDING native review"
Manual tags,수동 태그,ko,"Sidebar group header over tags the researcher made by hand, as against Default and Library codebooks. Replaced Your tags when the en value changed 20 Aug 2026. Adjective from Apple's Manual; noun lifted from each locale's own existing plural for tags. PENDING native review"
Manual tags,Manuelle tagger,nb,"Sidebar group header over tags the researcher made by hand, as against Default and Library codebooks. Replaced Your tags when the en value changed 20 Aug 2026. Adjective from Apple's Manual; noun lifted from each locale's own existing plural for tags. PENDING native review"
Manual tags,Handmatige tags,nl,"Sidebar group header over tags the researcher made by hand, as against Default and Library codebooks. Replaced Your tags when the en value changed 20 Aug 2026. Adjective from Apple's Manual; noun lifted from each locale's own existing plural for tags. PENDING native review"
Manual tags,Tagi ręczne,pl,"Sidebar group header over tags the researcher made by hand, as against Default and Library codebooks. Replaced Your tags when the en value changed 20 Aug 2026. Adjective from Apple's Manual; noun lifted from each locale's own existing plural for tags. PENDING native review"
Manual tags,Etiquetas manuais,pt-BR,"Sidebar group header over tags the researcher made by hand, as against Default and Library codebooks. Replaced Your tags when the en value changed 20 Aug 2026. Adjective from Apple's Manual; noun lifted from each locale's own existing plural for tags. PENDING native review"
Manual tags,Etiquetas manuais,pt-PT,"Sidebar group header over tags the researcher made by hand, as against Default and Library codebooks. Replaced Your tags when the en value changed 20 Aug 2026. Adjective from Apple's Manual; noun lifted from each locale's own existing plural for tags. PENDING native review"
Manual tags,Ручные теги,ru,"Sidebar group header over tags the researcher made by hand, as against Default and Library codebooks. Replaced Your tags when the en value changed 20 Aug 2026. Adjective from Apple's Manual; noun lifted from each locale's own existing plural for tags. PENDING native review"
Manual tags,Manuella taggar,sv,"Sidebar group header over tags the researcher made by hand, as against Default and Library codebooks. Replaced Your tags when the en value changed 20 Aug 2026. Adjective from Apple's Manual; noun lifted from each locale's own existing plural for tags. PENDING native review"
Manual tags,Manuel etiketler,tr,"Sidebar group header over tags the researcher made by hand, as against Default and Library codebooks. Replaced Your tags when the en value changed 20 Aug 2026. Adjective from Apple's Manual; noun lifted from each locale's own existing plural for tags. PENDING native review - Apple tr ships the adverb Elle; Manuel chosen for the same reason"
Manual tags,Ручні теги,uk,"Sidebar group header over tags the researcher made by hand, as against Default and Library codebooks. Replaced Your tags when the en value changed 20 Aug 2026. Adjective from Apple's Manual; noun lifted from each locale's own existing plural for tags. PENDING native review"
Manual tags,手動標籤,zh-Hant,"Sidebar group header over tags the researcher made by hand, as against Default and Library codebooks. Replaced Your tags when the en value changed 20 Aug 2026. Adjective from Apple's Manual; noun lifted from each locale's own existing plural for tags. PENDING native review"
Install,Instal·la,ca,"Per-codebook action on the Codebook Library tile. Replaced Import codebook when the en value changed 26 Jul 2026 (e8745070); the 19 locales did not follow until 21 Aug. Apple's imperative, measured. PENDING native review"
Install,Nainstalovat,cs,"Per-codebook action on the Codebook Library tile. Replaced Import codebook when the en value changed 26 Jul 2026 (e8745070); the 19 locales did not follow until 21 Aug. Apple's imperative, measured. PENDING native review"
Install,Installer,da,"Per-codebook action on the Codebook Library tile. Replaced Import codebook when the en value changed 26 Jul 2026 (e8745070); the 19 locales did not follow until 21 Aug. Apple's imperative, measured. PENDING native review"
Install,Installieren,de,"Per-codebook action on the Codebook Library tile. Replaced Import codebook when the en value changed 26 Jul 2026 (e8745070); the 19 locales did not follow until 21 Aug. Apple's imperative, measured. PENDING native review"
Install,Instalar,es,"Per-codebook action on the Codebook Library tile. Replaced Import codebook when the en value changed 26 Jul 2026 (e8745070); the 19 locales did not follow until 21 Aug. Apple's imperative, measured. PENDING native review"
Install,Asenna,fi,"Per-codebook action on the Codebook Library tile. Replaced Import codebook when the en value changed 26 Jul 2026 (e8745070); the 19 locales did not follow until 21 Aug. Apple's imperative, measured. PENDING native review"
Install,Installer,fr,"Per-codebook action on the Codebook Library tile. Replaced Import codebook when the en value changed 26 Jul 2026 (e8745070); the 19 locales did not follow until 21 Aug. Apple's imperative, measured. PENDING native review"
Install,Installa,it,"Per-codebook action on the Codebook Library tile. Replaced Import codebook when the en value changed 26 Jul 2026 (e8745070); the 19 locales did not follow until 21 Aug. Apple's imperative, measured. PENDING native review"
Install,インストール,ja,"Per-codebook action on the Codebook Library tile. Replaced Import codebook when the en value changed 26 Jul 2026 (e8745070); the 19 locales did not follow until 21 Aug. Apple's imperative, measured. PENDING native review"
Install,설치,ko,"Per-codebook action on the Codebook Library tile. Replaced Import codebook when the en value changed 26 Jul 2026 (e8745070); the 19 locales did not follow until 21 Aug. Apple's imperative, measured. PENDING native review"
Install,Installer,nb,"Per-codebook action on the Codebook Library tile. Replaced Import codebook when the en value changed 26 Jul 2026 (e8745070); the 19 locales did not follow until 21 Aug. Apple's imperative, measured. PENDING native review"
Install,Installeer,nl,"Per-codebook action on the Codebook Library tile. Replaced Import codebook when the en value changed 26 Jul 2026 (e8745070); the 19 locales did not follow until 21 Aug. Apple's imperative, measured. PENDING native review"
Install,Zainstaluj,pl,"Per-codebook action on the Codebook Library tile. Replaced Import codebook when the en value changed 26 Jul 2026 (e8745070); the 19 locales did not follow until 21 Aug. Apple's imperative, measured. PENDING native review"
Install,Instalar,pt-BR,"Per-codebook action on the Codebook Library tile. Replaced Import codebook when the en value changed 26 Jul 2026 (e8745070); the 19 locales did not follow until 21 Aug. Apple's imperative, measured. PENDING native review"
Install,Instalar,pt-PT,"Per-codebook action on the Codebook Library tile. Replaced Import codebook when the en value changed 26 Jul 2026 (e8745070); the 19 locales did not follow until 21 Aug. Apple's imperative, measured. PENDING native review"
Install,Установить,ru,"Per-codebook action on the Codebook Library tile. Replaced Import codebook when the en value changed 26 Jul 2026 (e8745070); the 19 locales did not follow until 21 Aug. Apple's imperative, measured. PENDING native review"
Install,Installera,sv,"Per-codebook action on the Codebook Library tile. Replaced Import codebook when the en value changed 26 Jul 2026 (e8745070); the 19 locales did not follow until 21 Aug. Apple's imperative, measured. PENDING native review"
Install,Yükle,tr,"Per-codebook action on the Codebook Library tile. Replaced Import codebook when the en value changed 26 Jul 2026 (e8745070); the 19 locales did not follow until 21 Aug. Apple's imperative, measured. PENDING native review"
Install,Інсталювати,uk,"Per-codebook action on the Codebook Library tile. Replaced Import codebook when the en value changed 26 Jul 2026 (e8745070); the 19 locales did not follow until 21 Aug. Apple's imperative, measured. PENDING native review"
Install,安裝,zh-Hant,"Per-codebook action on the Codebook Library tile. Replaced Import codebook when the en value changed 26 Jul 2026 (e8745070); the 19 locales did not follow until 21 Aug. Apple's imperative, measured. PENDING native review"
Uninstall,Desinstal·la,ca,"The inverse of Install on the same tile. Replaced Hide and Remove from codebook, 26 Jul 2026. Apple's imperative, measured. PENDING native review"
Uninstall,Odinstalovat,cs,"The inverse of Install on the same tile. Replaced Hide and Remove from codebook, 26 Jul 2026. Apple's imperative, measured. PENDING native review"
Uninstall,Fjern,da,"The inverse of Install on the same tile. Replaced Hide and Remove from codebook, 26 Jul 2026. Apple's imperative, measured. PENDING native review - Apple ships the Remove-family word here rather than an un-install cognate; reviewer to confirm it stays distinguishable from the generic remove used elsewhere in the codebook UI"
Uninstall,Deinstallieren,de,"The inverse of Install on the same tile. Replaced Hide and Remove from codebook, 26 Jul 2026. Apple's imperative, measured. PENDING native review"
Uninstall,Desinstalar,es,"The inverse of Install on the same tile. Replaced Hide and Remove from codebook, 26 Jul 2026. Apple's imperative, measured. PENDING native review"
Uninstall,Poista,fi,"The inverse of Install on the same tile. Replaced Hide and Remove from codebook, 26 Jul 2026. Apple's imperative, measured. PENDING native review - Apple ships the Remove-family word here rather than an un-install cognate; reviewer to confirm it stays distinguishable from the generic remove used elsewhere in the codebook UI"
Uninstall,Désinstaller,fr,"The inverse of Install on the same tile. Replaced Hide and Remove from codebook, 26 Jul 2026. Apple's imperative, measured. PENDING native review"
Uninstall,Disinstalla,it,"The inverse of Install on the same tile. Replaced Hide and Remove from codebook, 26 Jul 2026. Apple's imperative, measured. PENDING native review"
Uninstall,アンインストール,ja,"The inverse of Install on the same tile. Replaced Hide and Remove from codebook, 26 Jul 2026. Apple's imperative, measured. PENDING native review"
Uninstall,제거,ko,"The inverse of Install on the same tile. Replaced Hide and Remove from codebook, 26 Jul 2026. Apple's imperative, measured. PENDING native review - Apple ships the Remove-family word here rather than an un-install cognate; reviewer to confirm it stays distinguishable from the generic remove used elsewhere in the codebook UI"
Uninstall,Avinstaller,nb,"The inverse of Install on the same tile. Replaced Hide and Remove from codebook, 26 Jul 2026. Apple's imperative, measured. PENDING native review"
Uninstall,Verwijder,nl,"The inverse of Install on the same tile. Replaced Hide and Remove from codebook, 26 Jul 2026. Apple's imperative, measured. PENDING native review - Apple ships the Remove-family word here rather than an un-install cognate; reviewer to confirm it stays distinguishable from the generic remove used elsewhere in the codebook UI"
Uninstall,Odinstaluj,pl,"The inverse of Install on the same tile. Replaced Hide and Remove from codebook, 26 Jul 2026. Apple's imperative, measured. PENDING native review"
Uninstall,Desinstalar,pt-BR,"The inverse of Install on the same tile. Replaced Hide and Remove from codebook, 26 Jul 2026. Apple's imperative, measured. PENDING native review"
Uninstall,Desinstalar,pt-PT,"The inverse of Install on the same tile. Replaced Hide and Remove from codebook, 26 Jul 2026. Apple's imperative, measured. PENDING native review"
Uninstall,Удалить,ru,"The inverse of Install on the same tile. Replaced Hide and Remove from codebook, 26 Jul 2026. Apple's imperative, measured. PENDING native review - Apple ships the Remove-family word here rather than an un-install cognate; reviewer to confirm it stays distinguishable from the generic remove used elsewhere in the codebook UI"
Uninstall,Avinstallera,sv,"The inverse of Install on the same tile. Replaced Hide and Remove from codebook, 26 Jul 2026. Apple's imperative, measured. PENDING native review"
Uninstall,Yüklemeyi Kaldır,tr,"The inverse of Install on the same tile. Replaced Hide and Remove from codebook, 26 Jul 2026. Apple's imperative, measured. PENDING native review"
Uninstall,Видалити,uk,"The inverse of Install on the same tile. Replaced Hide and Remove from codebook, 26 Jul 2026. Apple's imperative, measured. PENDING native review - Apple ships the Remove-family word here rather than an un-install cognate; reviewer to confirm it stays distinguishable from the generic remove used elsewhere in the codebook UI"
Uninstall,解除安裝,zh-Hant,"The inverse of Install on the same tile. Replaced Hide and Remove from codebook, 26 Jul 2026. Apple's imperative, measured. PENDING native review"
Apply,Aplica,ca,"Runs AutoCode over the project with this codebook. Replaced the literal AutoCode quotes when the en value changed 17 Jul 2026 (7530106e). Apple's imperative, measured. PENDING native review"
Apply,Použít,cs,"Runs AutoCode over the project with this codebook. Replaced the literal AutoCode quotes when the en value changed 17 Jul 2026 (7530106e). Apple's imperative, measured. PENDING native review"
Apply,Anvend,da,"Runs AutoCode over the project with this codebook. Replaced the literal AutoCode quotes when the en value changed 17 Jul 2026 (7530106e). Apple's imperative, measured. PENDING native review"
Apply,Anwenden,de,"Runs AutoCode over the project with this codebook. Replaced the literal AutoCode quotes when the en value changed 17 Jul 2026 (7530106e). Apple's imperative, measured. PENDING native review"
Apply,Aplicar,es,"Runs AutoCode over the project with this codebook. Replaced the literal AutoCode quotes when the en value changed 17 Jul 2026 (7530106e). Apple's imperative, measured. PENDING native review"
Apply,Käytä,fi,"Runs AutoCode over the project with this codebook. Replaced the literal AutoCode quotes when the en value changed 17 Jul 2026 (7530106e). Apple's imperative, measured. PENDING native review"
Apply,Appliquer,fr,"Runs AutoCode over the project with this codebook. Replaced the literal AutoCode quotes when the en value changed 17 Jul 2026 (7530106e). Apple's imperative, measured. PENDING native review"
Apply,Applica,it,"Runs AutoCode over the project with this codebook. Replaced the literal AutoCode quotes when the en value changed 17 Jul 2026 (7530106e). Apple's imperative, measured. PENDING native review"
Apply,適用,ja,"Runs AutoCode over the project with this codebook. Replaced the literal AutoCode quotes when the en value changed 17 Jul 2026 (7530106e). Apple's imperative, measured. PENDING native review"
Apply,적용,ko,"Runs AutoCode over the project with this codebook. Replaced the literal AutoCode quotes when the en value changed 17 Jul 2026 (7530106e). Apple's imperative, measured. PENDING native review"
Apply,Bruk,nb,"Runs AutoCode over the project with this codebook. Replaced the literal AutoCode quotes when the en value changed 17 Jul 2026 (7530106e). Apple's imperative, measured. PENDING native review"
Apply,Pas toe,nl,"Runs AutoCode over the project with this codebook. Replaced the literal AutoCode quotes when the en value changed 17 Jul 2026 (7530106e). Apple's imperative, measured. PENDING native review"
Apply,Zastosuj,pl,"Runs AutoCode over the project with this codebook. Replaced the literal AutoCode quotes when the en value changed 17 Jul 2026 (7530106e). Apple's imperative, measured. PENDING native review"
Apply,Aplicar,pt-BR,"Runs AutoCode over the project with this codebook. Replaced the literal AutoCode quotes when the en value changed 17 Jul 2026 (7530106e). Apple's imperative, measured. PENDING native review"
Apply,Aplicar,pt-PT,"Runs AutoCode over the project with this codebook. Replaced the literal AutoCode quotes when the en value changed 17 Jul 2026 (7530106e). Apple's imperative, measured. PENDING native review"
Apply,Применить,ru,"Runs AutoCode over the project with this codebook. Replaced the literal AutoCode quotes when the en value changed 17 Jul 2026 (7530106e). Apple's imperative, measured. PENDING native review"
Apply,Använd,sv,"Runs AutoCode over the project with this codebook. Replaced the literal AutoCode quotes when the en value changed 17 Jul 2026 (7530106e). Apple's imperative, measured. PENDING native review"
Apply,Uygula,tr,"Runs AutoCode over the project with this codebook. Replaced the literal AutoCode quotes when the en value changed 17 Jul 2026 (7530106e). Apple's imperative, measured. PENDING native review"
Apply,Застосувати,uk,"Runs AutoCode over the project with this codebook. Replaced the literal AutoCode quotes when the en value changed 17 Jul 2026 (7530106e). Apple's imperative, measured. PENDING native review"
Apply,套用,zh-Hant,"Runs AutoCode over the project with this codebook. Replaced the literal AutoCode quotes when the en value changed 17 Jul 2026 (7530106e). Apple's imperative, measured. PENDING native review"
Codebook Library,Biblioteca de llibres de codis,ca,"Title of the browse-and-install modal, and the destination named in every reinstall sentence. Replaced Browse codebooks 26 Jul 2026. Built as the locale's own Codebook noun plus its Library noun so the modal title and the sidebar header agree. PENDING native review"
Codebook Library,Knihovna knih kódů,cs,"Title of the browse-and-install modal, and the destination named in every reinstall sentence. Replaced Browse codebooks 26 Jul 2026. Built as the locale's own Codebook noun plus its Library noun so the modal title and the sidebar header agree. PENDING native review - Knihovna knih kodu is literal and clunky; reviewer to propose better"
Codebook Library,Kodebogsbibliotek,da,"Title of the browse-and-install modal, and the destination named in every reinstall sentence. Replaced Browse codebooks 26 Jul 2026. Built as the locale's own Codebook noun plus its Library noun so the modal title and the sidebar header agree. PENDING native review"
Codebook Library,Codebuch-Bibliothek,de,"Title of the browse-and-install modal, and the destination named in every reinstall sentence. Replaced Browse codebooks 26 Jul 2026. Built as the locale's own Codebook noun plus its Library noun so the modal title and the sidebar header agree. PENDING native review"
Codebook Library,Biblioteca de libros de códigos,es,"Title of the browse-and-install modal, and the destination named in every reinstall sentence. Replaced Browse codebooks 26 Jul 2026. Built as the locale's own Codebook noun plus its Library noun so the modal title and the sidebar header agree. PENDING native review"
Codebook Library,Koodikirjojen kirjasto,fi,"Title of the browse-and-install modal, and the destination named in every reinstall sentence. Replaced Browse codebooks 26 Jul 2026. Built as the locale's own Codebook noun plus its Library noun so the modal title and the sidebar header agree. PENDING native review"
Codebook Library,Bibliothèque de grilles de codage,fr,"Title of the browse-and-install modal, and the destination named in every reinstall sentence. Replaced Browse codebooks 26 Jul 2026. Built as the locale's own Codebook noun plus its Library noun so the modal title and the sidebar header agree. PENDING native review"
Codebook Library,Libreria dei libri dei codici,it,"Title of the browse-and-install modal, and the destination named in every reinstall sentence. Replaced Browse codebooks 26 Jul 2026. Built as the locale's own Codebook noun plus its Library noun so the modal title and the sidebar header agree. PENDING native review - Libreria dei libri dei codici is literal and clunky; reviewer to propose better"
Codebook Library,コードブックライブラリ,ja,"Title of the browse-and-install modal, and the destination named in every reinstall sentence. Replaced Browse codebooks 26 Jul 2026. Built as the locale's own Codebook noun plus its Library noun so the modal title and the sidebar header agree. PENDING native review"
Codebook Library,코드북 라이브러리,ko,"Title of the browse-and-install modal, and the destination named in every reinstall sentence. Replaced Browse codebooks 26 Jul 2026. Built as the locale's own Codebook noun plus its Library noun so the modal title and the sidebar header agree. PENDING native review"
